"Participant ID","Survey Identifier","Survey Timestamp","School type","What is your class year?","If other, please describe","Are you a first generation college student? (i.e. first of immediate family members to graduate from college)","Are you a first generation medical student? (i.e. first of immediate family members to graduate from medical school)","Do you receive financial support from parents, grandparents, etc.? (tuition, rent, monthly allowance, groceries, etc).","What is your current household income? This includes any financial support during medical school from spouses, parents, grandparents, caregivers, etc.  ","What is your estimated debt after graduating medical school? Please include all anticipated debt.","Are you receiving a tuition scholarship?","How much you spent on supplies/materials for clinical duties (ex: stethoscope, ophthalmoscope, reflex hammer, pen light, tuning fork, suture kits, tablet)  ","How much you spent on test prep/3rd party resources (ex: UWorld, Amboss, Sketchy, First Aid, Boards and Beyond, Pathoma, Osmosis, anatomy subscriptions, NBME practice tests)","How much you spent on clothing and attire appropriate for the hospital/clinic (business outfits, dress shoes, haircuts)","How much you spent on  textbooks for preclinical and clinical duties (including online copies of textbooks)","How much you spent on required board exams (Step 1, 2)","How much you spent on social/student fees (social activities/outings, school clothes and gear, student fees)","How much you spent on residency fees (travel, hotel, application fees, background check fees).  If this does not apply to you, leave it blank.","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Supplies/materials for clinical duties)","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Test prep/3rd party resources)","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Clothing for clinic/hospital duties)","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Textbooks (or online copies))","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Required exams (Step 1, 2))","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Residency fees)","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Social/student fees)","Does your school offer any programs for additional financial support?","Please describe the financial support provided by your medical school","I spent more money out of pocket during medical school than expected","The total cost of attendance listed by my medical school accurately predicted my expenses during medical school","The cost of additional resources has been a financial constraint at some point in my medical career","Financial concerns have impacted my mental health and well-being at some point in my medical career","I felt like I spent ____ I expected for resources directly applicable to my medical education",Age,"How would you describe your gender?","How would you describe your race?","Are you of Hispanic, Latino/a, or Spanish origin?",Complete?
79,,"2022-01-25 18:24:10","Private MD",M2,,No,Yes,No,280,0,"Yes, MSTP or other PhD funded program",250,1200,900,300,,1450,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Agree,Neutral,Neutral,Agree,"The same as",24,Man,Asian,No,Complete
80,,"2022-01-25 19:19:13","Private MD",M2,,No,Yes,Yes,52,0,No,1500,1000,500,0,,1000,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,No,"None that I am aware of","Strongly agree",Disagree,"Strongly agree","Strongly agree","Significantly more than",23,Woman,Asian,No,Complete
81,,"2022-01-25 20:55:55","Private MD",M4,,No,Yes,Yes,272,0,No,1250,1500,2050,250,2500,450,1200,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,No,,Neutral,Neutral,Disagree,Neutral,"Significantly more than",27,Woman,Asian,No,Complete
82,,"2022-01-25 21:28:51","Private MD",M4,,No,No,Yes,140,0,No,1250,1750,1250,0,1600,3050,600,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly agree","Strongly disagree",Disagree,Neutral,"Significantly more than",27,Woman,White,No,Complete
83,,"2022-01-25 22:09:03","Private MD",M4,,No,Yes,Yes,,244,No,350,1550,500,300,2000,450,0,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly agree",Disagree,Disagree,Neutral,"Significantly more than",27,Woman,Asian,No,Complete
84,,"2022-01-25 23:05:03","Private MD",M2,,No,Yes,No,32,0,"Yes, MSTP or other PhD funded program",400,1100,700,150,,550,,Unchecked,Unchecked,Checked,Unchecked,Checked,Unchecked,Checked,Unsure,,"Strongly agree",Disagree,"Strongly agree",Agree,"Significantly more than",25,Woman,White,No,Complete
85,,"2022-01-25 23:08:56","Private MD",M1,,Yes,Yes,Yes,4,200,"Yes, partial",250,1000,150,150,,300,,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly agree",Agree,Agree,Agree,"Significantly more than",23,Man,"Black or African American",No,Complete
86,,"2022-01-26 06:45:44","Private MD",M2,,No,Yes,Yes,100,240,"Yes, partial",5000,600,1500,0,0,550,0,Checked,Unchecked,Unchecked,Unchecked,Checked,Checked,Checked,Unsure,,"Strongly agree",Disagree,Agree,Neutral,"Significantly more than",25,Man,Asian,No,Complete
87,,"2022-01-26 06:55:45","Private MD",M1,,No,No,Yes,300,52,No,100,0,150,0,0,200,0,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,Neutral,Agree,Disagree,Disagree,"Significantly less than",24,Man,White,No,Complete
88,,"2022-01-26 09:45:22","Private MD",M3,,No,Yes,Yes,16,0,"Yes, full",250,1400,200,100,650,4200,,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Checked,Unsure,,Agree,Neutral,Disagree,"Strongly disagree","The same as",26,Woman,"Black or African American",No,Complete
89,,"2022-01-26 12:01:41","Private MD",M3,,No,Yes,No,100,0,"Yes, full",100,1000,400,100,1300,0,,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unsure,,Agree,Disagree,Neutral,Agree,"Significantly more than",27,Man,White,No,Complete
90,,"2022-01-26 12:09:59","Private MD",M4,,No,Yes,Yes,0,216,"Yes, partial",250,1050,800,0,950,2000,1050,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly agree",Neutral,Agree,Disagree,"Significantly more than",26,Man,White,Yes,Complete
91,,"2022-01-26 12:25:05","Private MD",M2,,No,Yes,Yes,36,96,"Yes, partial",300,1100,200,150,0,200,,Checked,Checked,Unchecked,Checked,Checked,Checked,Unchecked,Unsure,,Agree,Neutral,Disagree,Disagree,"The same as",23,Man,Asian,No,Complete
92,,"2022-01-26 14:53:49","Private MD",M1,,No,Yes,Yes,12,300,"Yes, partial",350,500,850,0,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly agree",Neutral,"Strongly agree","Strongly agree","Significantly more than",24,Man,White,No,Complete
93,,"2022-01-26 14:56:22","Private MD",M2,,No,Yes,Yes,32,152,"Yes, partial",500,1200,350,200,,500,,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unsure,,Agree,Agree,Agree,Neutral,"Significantly more than",25,Woman,White,No,Complete
94,,"2022-01-26 16:44:32","Private MD",M4,,No,No,Yes,32,400,No,4000,4000,2000,5000,2500,2000,4050,Checked,Unchecked,Unchecked,Checked,Checked,Unchecked,Checked,Unsure,,"Strongly agree",Disagree,Agree,"Strongly agree","Significantly more than",30,Man,"Prefer not to answer",No,Complete
95,,"2022-01-27 13:14:19","Public MD",M1,,No,Yes,No,,156,"Yes, partial",100,300,150,0,,250,,Checked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unchecked,Unsure,,Agree,Disagree,Agree,Agree,"Significantly more than",22,Woman,Asian,No,Complete
96,,"2022-01-28 08:44:06","Private MD",M3,,No,No,Yes,24,132,"Yes, partial",350,1400,200,200,1300,150,,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unsure,,Agree,Disagree,Disagree,Disagree,"The same as",25,Man,White,No,Complete
97,,"2022-01-28 15:15:31","Private MD","Graduate student, professional student years",,No,Yes,No,32,0,"Yes, MSTP or other PhD funded program",2000,1500,500,100,1300,400,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Agree,Neutral,Agree,Neutral,"Significantly more than",28,Woman,White,No,Complete
98,,"2022-01-28 20:08:16","Private MD",M4,,No,Yes,Yes,400,0,No,250,1350,400,100,2000,500,600,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Neutral,Disagree,"Strongly disagree","Strongly disagree","Significantly more than",28,Woman,"Black or African American",No,Complete
99,,"2022-01-30 08:17:42","Private MD",M3,,No,Yes,No,4,180,"Yes, partial",300,1300,250,150,1200,500,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,"Strongly agree",Agree,"Strongly agree",Agree,"Significantly more than",24,Woman,White,No,Complete
100,,"2022-01-30 13:48:57","Private MD",M1,,No,Yes,No,0,300,"Yes, partial",900,0,300,0,0,300,0,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Agree,Neutral,Agree,"Strongly agree","The same as",24,Woman,White,Yes,Complete
101,,"2022-02-01 12:04:18","Private MD","Research/Year out",,No,No,Yes,80,0,"Yes, partial",200,1000,500,50,1300,400,,Checked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unsure,,Neutral,Agree,Neutral,Disagree,"The same as",26,Man,Asian,No,Complete
102,,"2022-02-07 18:02:38","Private MD",M1,,No,Yes,Yes,280,400,"Yes, partial",150,100,100,0,,650,,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Checked,Unsure,,Disagree,Agree,Agree,Agree,"Significantly more than",23,Woman,"Prefer not to answer",No,Complete
103,,"2022-03-07 15:56:19","Private MD",M3,,No,Yes,No,0,240,No,250,650,1400,100,1250,0,5400,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Yes,,Agree,Neutral,"Strongly agree","Strongly agree","Significantly more than",29,Woman,White,No,Complete
104,,"2022-03-07 15:58:07","Private MD",M4,,No,No,Yes,56,300,No,450,2050,1450,0,1950,1950,,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unsure,,"Strongly agree",Disagree,Agree,"Strongly agree","Significantly more than",26,Woman,"Black or African American",No,Complete
105,,"2022-03-07 16:03:42","Private DO",M1,,"Prefer not to answer","Prefer not to answer","Prefer not to answer",,,"Prefer not to answer",,,,,,,,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Neutral,Neutral,Neutral,Neutral,"The same as",,"Prefer not to answer","Prefer not to answer","Prefer not to answer",Complete
106,,"2022-03-07 16:04:52","Private MD",M1,,No,Yes,No,16,200,"Yes, partial",600,250,550,0,0,600,,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Agree,Agree,Agree,"Strongly agree","The same as",23,Woman,White,No,Complete
107,,"2022-03-07 16:05:50","Private MD",M1,,Yes,Yes,Yes,48,296,"Yes, partial",150,1050,650,0,2150,450,,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Checked,Unsure,,Agree,Disagree,"Strongly agree","Strongly agree","The same as",25,Man,White,Yes,Complete
108,,"2022-03-07 16:06:15","Private MD",M2,,No,Yes,No,0,300,"Yes, partial",600,1000,500,0,700,300,,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly agree",Agree,"Strongly agree","Strongly agree","Significantly more than",24,Non-binary/non-conforming,White,No,Complete
109,,"2022-03-07 16:06:34","Private MD",M1,,No,Yes,Yes,12,252,"Yes, partial",200,0,200,50,0,0,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,No,,Agree,Neutral,"Strongly agree",Agree,"Significantly more than",22,Woman,Asian,,Complete
110,,"2022-03-07 16:08:25","Private MD",M2,,No,No,No,,352,"Yes, partial",200,800,200,50,750,0,,Checked,Unchecked,Unchecked,Checked,Checked,Checked,Unchecked,Unsure,,Agree,Disagree,Agree,Agree,"The same as",28,Woman,White,No,Complete
111,,"2022-03-07 16:08:30","Private MD",M4,,No,Yes,Yes,200,168,No,650,1900,1050,800,1350,200,0,Checked,Checked,Checked,Unchecked,Checked,Checked,Checked,Yes,,Agree,Neutral,Neutral,Agree,"The same as",28,Man,White,No,Complete
112,,"2022-03-07 16:09:44","Private MD",M1,,No,No,Yes,112,0,No,1550,1550,100,150,,300,,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unsure,,"Strongly agree",Disagree,"Strongly disagree",Disagree,"Significantly more than",24,Woman,Asian,No,Complete
113,,"2022-03-07 16:10:16","Private MD",M2,,Yes,Yes,No,0,300,"Yes, partial",200,1150,450,0,650,50,,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,No,,"Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Significantly more than",28,Man,White,No,Complete
114,,"2022-03-07 16:10:28","Private MD",M4,,No,No,Yes,148,0,No,150,700,200,50,1400,200,600,Unchecked,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unsure,,Disagree,Neutral,"Strongly disagree","Strongly disagree","The same as",38,Woman,Asian,No,Complete
115,,"2022-03-07 16:12:45","Private MD",M2,,No,Yes,Yes,400,0,No,200,300,500,100,700,300,,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Agree,Agree,Disagree,Disagree,"Significantly more than",26,Woman,White,No,Complete
116,,"2022-03-07 16:14:11","Private MD",,,No,No,Yes,100,0,No,250,800,300,0,1100,550,,Checked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unsure,,Agree,Neutral,Neutral,Disagree,"The same as",25,Man,White,No,Complete
117,,"2022-03-07 16:15:11","Private MD",M1,,No,Yes,Yes,76,0,No,2050,500,3050,100,,700,,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unsure,,"Strongly agree","Strongly agree","Strongly agree",Agree,"Significantly more than",22,Woman,White,Yes,Complete
118,,"2022-03-07 16:17:02","Private MD",M4,,Yes,Yes,No,0,152,"Yes, partial",300,700,300,100,2500,1250,300,Checked,Unchecked,Unchecked,Checked,Checked,Checked,Checked,No,,Agree,Agree,Disagree,Agree,"Significantly less than",26,Woman,White,Yes,Complete
119,,"2022-03-07 16:18:37","Private MD",M1,,No,Yes,Yes,20,352,"Yes, partial",400,0,0,0,50,0,,Checked,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Yes,,"Strongly disagree",Agree,"Strongly disagree",Agree,"The same as",25,Woman,White,No,Complete
120,,"2022-03-07 16:32:01","Private MD",M3,,No,No,Yes,80,84,No,200,1100,100,150,2500,200,,Checked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unsure,,Agree,Neutral,Disagree,Agree,"Significantly more than",30,Man,White,No,Complete
121,,"2022-03-07 16:34:43","Private MD",M3,,No,Yes,Yes,0,160,"Yes, partial",1000,1300,500,0,1300,2500,,Checked,Checked,Unchecked,Checked,Checked,Unchecked,Checked,Yes,,"Strongly agree",Neutral,Agree,Agree,"Significantly more than",25,Woman,"Prefer not to answer",No,Complete
122,,"2022-03-07 16:47:19","Private MD",M1,,No,No,Yes,4,248,"Yes, partial",150,0,200,0,0,50,,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Agree,Agree,Neutral,Neutral,"The same as",25,Man,White,No,Complete
123,,"2022-03-07 16:54:19","Private MD",M1,,No,Yes,No,0,168,"Yes, partial",0,0,0,0,0,2500,0,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Unsure,,Disagree,Agree,Agree,Disagree,"The same as",24,Woman,White,Yes,Complete
124,,"2022-03-07 16:54:50","Private MD",M4,,No,Yes,Yes,20,100,"Yes, partial",200,3000,1000,0,1400,1000,1200,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unsure,,Agree,Agree,Disagree,"Strongly agree","Significantly more than",26,Woman,White,No,Complete
125,,"2022-03-07 16:57:23","Public MD",M4,,No,No,Yes,180,188,No,3000,1500,500,1000,1300,500,1200,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Yes,,Agree,Neutral,Disagree,Disagree,"Significantly more than",31,Woman,White,No,Complete
126,,"2022-03-07 16:58:04","Private MD",M3,,No,No,Yes,400,200,No,200,2000,1000,0,1300,700,,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Yes,,"Strongly agree",Disagree,Agree,Agree,"Significantly more than",24,Woman,"Black or African American",No,Complete
127,,"2022-03-07 16:58:05","Private MD",M1,,No,Yes,No,4,200,"Yes, partial",1300,50,500,0,,750,,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Checked,Yes,,Neutral,Agree,Disagree,"Strongly agree","The same as",24,Woman,White,No,Complete
128,,"2022-03-07 17:01:05","Private MD",M3,,No,No,Yes,40,32,"Yes, partial",250,650,500,0,700,2000,,Checked,Checked,Unchecked,Checked,Checked,Checked,Checked,Yes,,Neutral,Agree,Neutral,Disagree,"The same as",25,Woman,Asian,No,Complete
129,,"2022-03-07 17:04:23","Private MD",M4,,No,Yes,Yes,0,360,"Yes, partial",250,2000,400,0,1500,1050,2550,Checked,Checked,Unchecked,Checked,Checked,Checked,Checked,Yes,,Disagree,Agree,Neutral,"Strongly agree","The same as",25,Man,Asian,No,Complete
130,,"2022-03-07 17:08:25","Private MD",M4,,No,No,Yes,24,0,No,2300,2000,750,0,1150,100,600,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Checked,Unsure,,Neutral,Disagree,"Strongly disagree",Agree,"The same as",28,Woman,White,No,Complete
131,,"2022-03-07 17:09:22","Public MD",M4,,No,Yes,No,0,264,"Yes, partial",300,2150,800,400,1350,900,450,Checked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unchecked,Yes,,Agree,Agree,Agree,Agree,"Significantly more than",25,Woman,White,No,Complete
132,,"2022-03-07 17:22:09","Private MD",M4,,No,Yes,Yes,36,0,"Yes, partial",400,1500,200,50,1600,,2550,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,"Strongly agree",Disagree,Agree,Agree,"Significantly more than",27,Woman,White,No,Complete
133,,"2022-03-07 17:23:38","Private MD",M3,,No,No,No,0,400,"Yes, partial",200,2500,900,500,1300,0,,Checked,Checked,Unchecked,Checked,Checked,Unchecked,Checked,No,,"Strongly agree",Disagree,"Strongly agree","Strongly agree","Significantly more than",27,Woman,White,No,Complete
134,,"2022-03-07 17:32:56","Public MD",M4,,No,Yes,Yes,48,0,"Yes, partial",1000,1000,400,100,2200,500,1350,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Checked,Yes,,"Strongly agree",Neutral,Neutral,Disagree,"Significantly more than",26,Woman,White,No,Complete
135,,"2022-03-07 17:39:13","Public MD",M1,,No,No,Yes,400,0,No,100,0,0,200,,150,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Disagree,,Disagree,Disagree,"Significantly less than",28,Woman,White,No,Complete
136,,"2022-03-07 17:40:51","Private MD",M1,,No,Yes,No,100,0,"Yes, full",300,0,400,0,,350,,Checked,Checked,Unchecked,Checked,Checked,Checked,Checked,Unsure,,Agree,Neutral,Disagree,Disagree,"The same as",29,Man,White,No,Complete
137,,"2022-03-07 17:41:02","Private MD",M1,,No,Yes,No,,,"Yes, full",,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Agree,Neutral,Disagree,Disagree,"The same as",,Man,White,No,Complete
138,,"2022-03-07 17:43:39","Private MD",M1,,No,Yes,No,8,240,"Yes, partial",2000,0,150,0,,1000,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,No,"Need based aid ",Agree,Neutral,Neutral,Neutral,"The same as",23,Man,White,No,Complete
139,,"2022-03-07 17:45:51","Private MD",M2,,No,No,Yes,84,0,"Yes, partial",150,550,100,0,650,150,0,Checked,Checked,Unchecked,Checked,Checked,Checked,Unchecked,Unsure,,Agree,Agree,Disagree,Disagree,"The same as",25,Man,White,No,Complete
140,,"2022-03-07 17:56:52","Public MD",M3,,No,No,Yes,28,252,No,300,500,0,0,1500,100,,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unsure,,"Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","The same as",30,"Prefer not to answer","Prefer not to answer","Prefer not to answer",Complete
141,,"2022-03-07 18:03:31","Private MD",M2,,No,Yes,Yes,60,40,No,400,750,400,50,700,150,,Unchecked,Checked,Unchecked,Unchecked,Checked,Checked,Unchecked,No,,Agree,Neutral,Agree,Agree,"Significantly more than",26,Woman,White,No,Complete
142,,"2022-03-07 18:12:51","Private MD",M1,,Yes,Yes,No,52,256,"Yes, partial",250,700,350,0,1500,1250,,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Checked,Unsure,,Neutral,Disagree,Agree,Agree,"The same as",30,Woman,White,No,Complete
143,,"2022-03-07 18:14:01","Private MD",M1,,No,Yes,No,0,200,"Yes, partial",100,0,400,0,0,1050,,Unchecked,Unchecked,Unchecked,Checked,Checked,Checked,Unchecked,No,,Agree,Agree,Neutral,Agree,"The same as",25,Man,White,No,Complete
144,,"2022-03-07 18:40:38","Public MD",M1,,No,No,Yes,100,200,No,1050,0,100,0,,350,,Unchecked,Unchecked,Unchecked,Checked,Checked,Unchecked,Checked,No,"Federal student loans",Agree,Neutral,"Strongly agree","Strongly agree","The same as",24,"Prefer not to answer",White,No,Complete
145,,"2022-03-07 18:48:49","Private MD",M2,,No,Yes,No,0,180,"Yes, partial",750,600,150,50,650,150,,Unchecked,Checked,Checked,Checked,Checked,Unchecked,Checked,Unsure,,Neutral,Disagree,Agree,Neutral,"The same as",23,Woman,White,No,Complete
146,,"2022-03-07 18:57:38","Public MD",M4,,No,No,Yes,20,60,"Yes, partial",,1500,500,500,1750,1150,1500,Checked,Checked,Checked,Checked,Checked,Unchecked,Unchecked,Yes,,"Strongly agree",Neutral,Agree,Agree,"Significantly more than",27,Man,White,No,Complete
147,,"2022-03-07 19:12:47","Private MD",M2,,No,Yes,No,0,68,No,900,950,300,100,700,50,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,No,"Financial aid for those who qualify","Strongly agree",Disagree,"Strongly agree",Agree,"Significantly more than",26,Woman,White,No,Complete
148,,"2022-03-07 19:13:05","Private MD",M3,,No,No,Yes,16,240,No,1400,1600,950,100,1350,500,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unsure,,"Strongly agree",Neutral,Agree,Agree,"Significantly more than",25,Woman,White,,Complete
149,,"2022-03-07 19:31:39","Private MD",M4,,No,Yes,No,0,380,"Yes, partial",1300,1900,800,500,1800,300,600,Checked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unchecked,No,,"Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Significantly more than",32,Woman,"Prefer not to answer",No,Complete
150,,"2022-03-07 19:47:30","Public MD","Research/Year out",,No,Yes,Yes,40,332,No,350,1200,450,300,1250,1300,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Agree,Disagree,Agree,Agree,"The same as",26,Man,Asian,No,Complete
151,,"2022-03-07 20:01:52","Public MD",M1,,No,Yes,No,16,220,No,150,800,700,1600,,2500,,Unchecked,Checked,Unchecked,Checked,Checked,Unchecked,Checked,Yes,,"Strongly agree",Agree,Neutral,Agree,"Significantly more than",24,Woman,"Black or African American",No,Complete
152,,"2022-03-07 20:02:43","Public MD",M1,,No,Yes,No,64,400,No,250,0,300,150,,200,,Unchecked,Unchecked,Unchecked,Checked,Checked,Unchecked,Checked,Yes,,Neutral,Disagree,"Strongly agree","Strongly agree","The same as",28,Man,White,No,Complete
153,,"2022-03-07 20:07:32","Private MD",M1,,Yes,Yes,No,12,196,"Yes, partial",150,0,250,150,0,500,,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Checked,No,"Partial need-based scholarship",Neutral,Agree,Neutral,Agree,"The same as",22,Man,"Black or African American",No,Complete
154,,"2022-03-07 20:36:31","Private MD",M2,,No,Yes,Yes,96,352,"Yes, partial",2500,1350,1150,450,1150,500,,Checked,Checked,Unchecked,Checked,Checked,Unchecked,Unchecked,Unsure,,Agree,Disagree,Neutral,Agree,"Significantly more than",23,Man,White,No,Complete
155,,"2022-03-07 21:49:35","Private MD",M1,,Yes,Yes,Yes,72,204,"Yes, partial",1400,50,100,0,0,600,,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unsure,,Agree,Disagree,Agree,Agree,"The same as",22,Woman,White,Yes,Complete
156,,"2022-03-07 21:51:00","Private MD",M3,,No,Yes,Yes,40,324,"Yes, partial",400,950,750,0,1850,1700,,Checked,Unchecked,Unchecked,Checked,Checked,Checked,Unchecked,Yes,,"Strongly agree",Disagree,"Strongly agree","Strongly agree","Significantly more than",30,Man,White,No,Complete
157,,"2022-03-07 22:12:35","Private MD",M3,,No,Yes,No,12,152,"Yes, partial",800,1500,500,100,1250,1000,,Checked,Unchecked,Unchecked,Checked,Checked,Unchecked,Checked,Yes,,Neutral,Agree,Agree,"Strongly agree","Significantly more than",26,Man,White,No,Complete
158,,"2022-03-07 22:19:25","Private MD",M1,,No,Yes,Yes,24,0,"Yes, MSTP or other PhD funded program",150,0,200,0,550,500,,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Disagree,Agree,Agree,Agree,"The same as",22,Man,White,No,Complete
159,,"2022-03-07 22:30:07","Private MD",M2,,No,Yes,Yes,60,0,"Yes, partial",100,0,300,50,650,0,,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Checked,Yes,,Agree,Agree,Neutral,Agree,"The same as",24,Woman,Asian,No,Complete
160,,"2022-03-08 02:50:08","Private MD",M4,,No,No,No,12,292,"Yes, partial",950,3450,1250,200,3750,1450,,Checked,Checked,Checked,Checked,Checked,Unchecked,Unchecked,No,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Significantly more than",29,Woman,White,No,Complete
161,,"2022-03-08 04:45:54","Public MD",M3,,No,Yes,No,0,300,"Yes, partial",250,2000,100,0,800,0,,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Yes,,"Strongly agree",Agree,"Strongly agree","Strongly agree","Significantly more than",27,Woman,"Prefer not to answer",No,Complete
162,,"2022-03-08 04:52:20","Private MD",M4,,No,No,Yes,24,168,"Yes, partial",100,5000,100,100,1000,0,5100,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unsure,,"Strongly agree","Strongly disagree",Agree,"Strongly agree","Significantly more than",29,"Prefer not to answer","Prefer not to answer","Prefer not to answer",Complete
163,,"2022-03-08 05:39:21","Private MD",M4,,No,Yes,No,0,148,"Yes, partial",200,3000,150,0,4900,500,1200,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Checked,Checked,No,"Loans only","Strongly agree",Disagree,"Strongly agree","Strongly agree","Significantly more than",36,Woman,,Yes,Complete
164,,"2022-03-08 06:13:39","Private MD",M2,,No,Yes,No,0,200,"Yes, partial",50,650,150,0,650,100,,Unchecked,Checked,Unchecked,Checked,Checked,Unchecked,Checked,No,"Additional loans","Strongly agree",Neutral,Neutral,Agree,"Significantly more than",30,Woman,"Black or African American",No,Complete
165,,"2022-03-08 07:00:23","Private MD",M3,,No,Yes,No,0,240,"Yes, partial",1050,1800,300,0,2500,200,,Checked,Checked,Unchecked,Checked,Checked,Unchecked,Checked,Unsure,,Neutral,Neutral,Agree,Agree,"The same as",27,Man,White,No,Complete
